"id","type_id","item_id","text","referencedTopic_id"
1,4,16,,37468
2,1,337,"mittee through 6/30/97, July 1994, 9",
3,1,602,SEE:  a Francois-Xavier Bagnoud Building,
4,1,1877,"Secretary Wilfred B. Shaw served from 1904 to 1929, no R.P. ref.",
5,3,2163,,1527
6,1,2653,"mmittee, June 1995, 360",
7,3,3449,,37551
8,2,1220,"volumes 1906-10, 10-14, 17-20, 20-23, 26-29, 29-32, re separation from engineering college",
9,1,3487,SEE:  Architecture Building,
10,2,1222,volumes 1932-36 through present for executive committee,
11,2,1228,"volumes 1932-36, and 1939-42 through 1957-60, for tuition schedule",
12,1,3552,SEE:  under name of fund,
13,3,3702,,8699
14,2,1339,"1948-51",
15,1,3988,"reappointed 1975-78, 286",
16,2,1388,"1954-57",
17,1,4011,for gifts see RPI 1963-66 and 1966-69,
18,1,4012,for gifts see RPI 1963-66 and 1966-69,
19,1,4015,for listing of gifts see RPI from 1966-69 through present,
20,1,4424,for Board membership see RPI 1932-36 through 1981-84,
21,3,4464,,41983
22,3,4465,,2240
23,3,4466,,30268
24,3,4467,,12988
25,2,1567,"1951-54",
26,1,4615,for listing of gifts see RPI 1966-69 index,
27,2,1607,"1939-42 through 1963-66",
28,1,4681,for report on internal audits of various units see RPI 1951-54 through 1975-78,
29,1,4710,SEE ALSO:  Michigan State of for Auditor General reports,
30,2,1625,"1906-10, 843",
31,1,4851,"SEE ALSO:  Automotive Engin. Lab. fund, 1963-66, 784",
32,1,4948,"SEE:  d African Studies with tenure, May 1995, 311",
33,4,5083,,1762
34,1,5226,SEE:  Bachelor of Science in Aeronautical Engineering,
35,1,5226,Aeronautical Engineering no R.P. ref. for establishment of,
36,2,1844,"1936-39",
37,2,1874,"1942-45",
38,2,1880,"1936-39 through 1957-60",
39,1,5395,"died Feb. 4, 1973",
40,2,1899,"1948-51",
41,1,5487,"mparative Literature with tenure, May 1995, 311",
42,2,1926,"1942-45, 1945-48, 1948-51, 1951-54, 1957-60",
43,1,5500,"died May 6, 1971",
44,2,2012,"1945-48 through 1957-60",
45,2,2074,"1948-51",
46,1,5977,"died December 12, 1970",
47,1,6304,Date of death November 6 1979,
48,1,6469,"for further information see bound volumes of Regents Proceedings, 1891-96 to 1926-29",
49,2,2284,"1936-39, 1939-42, 1942-45, 1945-48",
50,1,6569,"died Jan. 24, 1970",
51,1,6642,Date of death 11/28/76,
52,2,2355,"1939-42",
53,1,6789,"died August 7, 1973",
54,2,2380,"1932-36",
55,2,2421,"1932-36, 1936-39, 1939-42, 1942-45, 1945-48, 1948-51",
56,2,2425,"1957-60, 1963-66, 1966-69",
57,2,2453,"1914-17, 1926-29, 1929-32, 1932-36, 1939-42, 1942-45, 1945-48, 1948-51, 1951-54",
58,1,7061,SEE:  Bartlett Plant Exploration Fund H. H.,
59,1,7069,"died November 28, 1970",
60,1,7184,SEE:  Fisher Baseball Stadium Ray,
61,2,2530,"1948-51",
62,1,7313,SEE ALSO:  Bates Octavia W.,
63,1,7314,name changed no R.P. ref.,
64,1,7339,SEE:  Bates Memorial Scholarship fund Henry M.,
65,1,7339,SEE:  Bates Award Henry M.,
66,1,7358,died April 1974,
67,4,7365,,2543
68,4,7365,,2544
69,3,7370,,2544
70,2,2647,"1929-32",
71,2,2688,"1906-10",
72,2,2708,"1945-48",
73,1,7803,"on leave, 1948-51, 1951-54, 1957-60, 1960-63, 1963-66, 1969-72,",
74,1,8421,"died Feb. 19, 1969",
75,1,8512,"died January 24, 1972",
76,2,3106,"1942-45",
77,1,8830,"died January 7, 1966",
78,1,8836,"Date of death October 31, 1981",
79,1,8876,"SEE ALSO:  Bentley Foundation, Alvin M.",
80,1,9177,"Date of death August 19, 1979",
81,2,3325,"1917-20",
82,3,9691,,2741
83,1,9721,SEE:  Biddle Fund Andrew P. and Grace W.,
84,2,3582,"volumes 1910-20, and 1939-45 for camp physician",
85,1,10312,"Executive Committee of Alumni Association, RP 1936-45",
86,1,10313,"membership on various committee of the Board etc. see R.P., 1942-48",
87,1,10459,died November 1971,
88,2,3732,volumes 1942-57 for committee appointments,
89,2,3743,"1948-51",
90,1,10833,"died July 27, 1968",
91,2,3848,"1929-32 through 1948-51",
92,1,10933,"SEE:  Lamont-Hussey Observatory, 1936-39, 149, 160",
93,1,11015,"on leave see RP 1942-54, and 1960-63",
94,1,11151,"died September 7, 1971",
95,2,3975,"1923-42",
96,1,11207,SEE ALSO:  Boak Fellowship Endowment Fund in Ancient History Arthur E. R.,
97,1,11207,SEE ALSO:  Boak Scholarship Arthur E. R.,
98,1,11234,SEE:  Waterman Gymnasium or Barbour Gymnasium,
99,3,11238,,1540
100,2,4045,"1906-29 for additional land purchases",
101,2,4088,"1837-64",
102,2,4168,"for membership on committees of the board, 1945-54, 1957-60",
103,1,11778,"died February 25, 1972",
104,1,11782,"on Clements Library Associates Board, 1960-72",
105,2,4174,"1923-42",
106,1,11928,"Date of death November 22, 1981",
107,1,12026,SEE ALSO:  Borg-Warner Foundation,
108,2,4322,"volumes 1876-81, 1886-91, 1896-01, 1901-14 for instructors",
109,1,12259,SEE:  Botanical Exploration fund,
110,1,12267,SEE ALSO:  Houghton Herbarium,
111,1,12342,SEE:  on leave RP volumes 1951-69,
112,1,12347,Lecturer RP volumes 1948-63,
113,2,4429,"1942-45, 1945-48, 1948-51, 1951-54, 1954-57, 1957-60",
114,2,4448,"volumes 1939-48, and 1951-57 for salary increases",
115,1,12630,SEE:  Boyer Scholarship fund Joseph,
116,1,12658,"SEE ALSO:  ard of Trustees through 11/15/97, December 1994, 142",
117,2,4479,"1951-54, 1954-57, 1957-60",
118,2,4486,volumes 1957-66 for committee appointments and reports by,
119,1,12781,"died April 24, 1966",
120,2,4518,"1837-64, 1174",
121,1,12856,"died November 8, 1971",
122,2,4547,"1932-36, 1936-39, 1939-42",
123,1,12900,"died June 10, 1967",
124,1,13053,"died January 2, 1969",
125,2,4631,"1936-39",
126,2,4634,"1945-48, 1948-51, 1951-54, 1954-57, 1957-60, 1963-66, 1966-69",
127,2,4646,"1948-51, 1951-54, 1954-57, 1960-63, 1963-66, 1966-69",
128,2,4687,volumes 1926-29 to 1954-57,
129,4,2693,,46477
130,1,13520,"Clements Library Associates Board of Governors, RP volumes 1960-81",
131,2,4797,"1942-45, 1948-51, 1954-57, 1957-60",
132,1,13582,"resigned September 30, 1971, no R.P. ref.",
133,1,13700,"SEE ALSO:  Britton Fellowship in Organic Chemistry, Edgar C.",
134,2,4854,"1951-54 through 1957-60",
135,4,13756,,39381
136,2,4866,volumes 1945-57 for executive committees,
137,2,4884,"1936-45, 1951-66",
138,2,4913,volumes 1936-39 through 1957-60,
139,1,14152,"Date of death, December 3, 1977",
140,1,14232,"Date of death, June 11, 1980",
141,1,14262,"died December 19, 1964",
142,2,5048,volumes 1945-48 through 1957-60,
143,2,5053,"volumes 1945-48, 1954-57, 1960-63, 1963-66",
144,1,14509,"deceased, April 28, 1985",
145,2,5163,"1960-63, 1963-66, 1966-69",
146,2,5187,"1929-32, 1932-36, 1936-39",
147,1,14715,"SEE ALSO:  Bruce Fellowship in Pediatrics, James D.",
148,1,14715,"SEE ALSO:  Bruce Memorial fund, James D.",
149,3,14791,,39381
150,3,14858,,30015
151,1,14923,"Assistant Professor in Natural Resources, 1972, no R. P. refrence",
152,4,143138,,46477
153,2,5352,volumes 1948-63 for conditions governing fund,
154,2,5367,violumes 1906-23 for development of campus plan,
155,2,5373,volumes 1906-14 1917-26 for rules governing keys for,
156,2,5373,volume 1837-64 for proposed and plans for,
157,3,15252,,1216
158,4,15255,,1216
159,2,5386,"1910-17 for committee appointments on board etc",
160,1,15384,"Board of Govs. of Lawyers Club, RP Volumes 1929-39",
161,2,5427,"1901-20",
162,1,15528,"died Nov. 24, 1962",
163,2,5431,"1929-32, 1932-36, 1936-39, 1939-42",
164,1,15743,"died December 15, 1964",
165,1,15753,"on leave volumes 1948-54, 1957-63, 1966-69",
166,2,5527,"1951-54",
167,4,15884,,27147
168,2,5631,"1926-29",
169,1,16065,"died August 4, 1968",
170,2,5649,"1936-39, 1939-42, 1942-45, 1945-48, 1948-51, 1951-54, 1954-57",
171,2,5662,"1923-26",
172,3,16268,,5729
173,3,16299,,18810
174,2,5737,volumes 1963-78 for gift listings,
175,2,5740,volumes 1963-75 for gift listings,
176,1,16596,"Date of death July 1, 1976",
177,1,16737,"nstruction contract approved , May 1995, 336",
178,2,5854,"1917-20, 1923-26, 1926-29",
179,2,5901,"1942-45",
180,1,16995,"died February 6, 1972",
181,1,17011,"death reported, 1975-78, 959",
182,2,5931,volumes 1929-36 for condemnation suit against margaret e hunt,
183,2,5985,"1948-51",
184,2,5985,volumes 1948-57 and 1960-63 for leave of absence,
185,1,17155,"Date of death September 15, 1979",
186,2,5999,volumes 1906-29 for additonal land purchases,
187,1,17232,"named in honor of Professor Filibert Roth (no R.P., ref.)",
188,1,17237,first forestry camp opened in June of 1929 in Alger County (no R.P. ref.),
189,2,6025,"1945-48, 1951-54, 1954-57",
190,2,6025,volumes 1963-75 for comm on american inst lectureship and prof,
191,1,17346,"SEE ALSO:  Campbell Endowment fund, Chesser M.",
192,1,17346,"SEE ALSO:  Campbell Scholarship fund, Chesser M.",
193,1,17405,"SEE ALSO:  Campbell Endowment fund, Edward D.",
194,4,17512,,40136
195,2,6096,"1910-29",
196,2,6118,volumes 1948-63 for planning committees,
197,4,17598,,40139
198,4,17606,,14495
199,2,6143,volumes 1954-81,
200,1,17737,"died November 22, 1963",
201,1,17897,Assistant Professor (no R.P. ref.),
202,1,18008,"SEE ALSO:  Burton Memorial Tower, Marion L.",
203,4,18008,,24236
204,2,6420,"1936-39, 1942-45, 1945-48, 1948-51, 1951-54",
205,1,18367,"died November 9, 1963",
206,2,6430,"1945-48, 1948-51, 1951-54",
207,3,18442,,24236
208,2,6463,"1942-45, 1945-48, 1948-51",
209,1,18483,"died January 19, 1966",
210,2,6507,"1951-54, 1954-57, 1957-60, 1960-63, 1963-66",
