"id","type_id","topic_id","text","referencedTopic_id"
19001,1,19,the listings for 1972-75 may be incomplete,
51001,1,51,"died November 14, 1964",
82001,1,82,died Feb. 1973,
84001,1,84,"died February 27, 1969",
100002,1,100,"Regent, 1957-60",
100001,1,100,"Regent, 1956-1957",
122001,2,122,"1945-48, 1948-51",
128001,2,128,"1945-48",
130001,3,130,,6986
160001,4,160,,29720
161001,1,161,"occupied in Dec., 1948 (no R.P. ref.)",
161002,1,161,"old renamed Literature, Science and the Arts Building in 1968 (no R.P. ref.)",
165001,3,165,,29720
170001,1,170,SEE:  specific school or college,
54247001,1,54247,"SEE ALSO:  Admissions, Office of, Specific Registrar''s Office",
54247003,1,54247,freshmen admissions handled by individual deans from 1837 to 1925 (no R.P. ref.),
54247002,1,54247,"admission of graduates of schools on approved list of North Central Association of Colleges and Secondary Schools, 1910-14, 439",
187001,1,187,Wayne State University--The University of Michigan--Eastern Michigan University,
199001,3,199,,1584
200001,1,200,founded by H. C. Sadler in 1910 (no R.P. ref.),
201001,3,201,,212
203001,3,203,,212
204001,1,204,Colvin and Robinson architects for (no R.P ref),
206001,3,206,,43171
212002,4,212,,43171
212001,1,212,called Aeronautical Engineering (only) from R.P. 1914-23,
224001,1,224,SEE:  Labor--Congress of Industrial Organizations Michigan State American Federation of,
239001,4,239,,33370
240001,1,240,formerly called deposit funds,
246002,4,246,,14879
246001,3,246,,14880
254001,1,254,SEE:  under name of opposite party to the agreement,
254002,1,254,"for listing of see bound volumes of R.P., 1948-51 - present",
276001,2,276,"1923-26, 1926-29, 1932-36",
293001,4,293,,44559
298001,2,298,"1936-39 through 1948-51",
337001,1,337,"deceased June 26, 1965",
374002,4,374,,24123
374001,3,374,,24123
388001,4,388,,387
430001,1,430,SEE:  Alexander Memorial Fund for Thoracic Surgery,
479002,4,479,,42489
479001,1,479,"Total cost as recorded in the 1938 Financial Report: $181,212, which included land and equipment costs (no R.P. ref.)",
489001,1,489,"SEE ALSO:  Allen Scholarship fund, George C.",
524001,1,524,"Regent, 1843-1852",
546001,1,546,"died September 12, 1968",
630001,1,630,"died December 16, 1971",
649001,4,649,,41923
652001,3,652,,653
654001,3,654,,653
657001,4,657,,8010
659002,4,659,,675
659001,1,659,"formation of organization of alumni in August, 1845 (no R.P. ref.)",
664001,1,664,no R.P. reference to early bylaws,
666001,1,666,"Secretary Shirley W. Smith served from 1901 to 1904, no R.P. ref.",
678001,1,678,Alumni Ten-Year Program called Alumni University,
702001,3,702,,30543
733001,1,733,SEE:  Chemistry fund,
744001,1,744,"SEE:  Cook foundation Fund, William W.",
756001,4,756,,9341
783001,3,783,,1527
866001,2,866,"1926-29 through 1939-42",
889001,2,889,"1932-36 and 1951-54 through 1957-60",
957001,2,957,"1837-64",
977001,2,977,"1948-51",
995001,1,995,SEE:  see University General Loan,
1004001,3,1004,,1527
1041001,1,1041,SEE:  Ann Arbor Board of Education,
1058001,1,1058,SEE:  Ann Arbor Board of Education,
1075001,1,1075,SEE ALSO:  under individual streets,
1085001,3,1085,,6655
1091001,1,1091,SEE ALSO:  Carnegie Foundation for the Advancement of Teaching,
1137001,4,1137,,40674
1150001,2,1150,for 1939-42 and 1942-45,
1156001,1,1156,formerly Engineering Mechanics Special fund,
1158001,3,1158,,1160
1160001,1,1160,name changed on September 26 1968 to Placement Services (no R.P. .ref.),
1161002,4,1161,,12562
1164003,4,1164,,32179
1164001,4,1164,,8212
1165001,4,1165,,9862
1165002,4,1165,,10519
1172001,1,1172,SEE:  Radio Astronomy-Associates for,
1186001,3,1186,Nichols Aboretum,29111
1216001,3,1216,,6115
1220004,1,1220,called Architecture only from R.P. 1906 to 1910,
1220002,1,1220,called Architecture College from R.P. 1914 to 1939,
1220001,1,1220,called Architecture Chair of from R.P. 1901 to 1906,
1220005,1,1220,indexed under Architecture and Design (only) from R.P. 1876 to 1881,
1220003,1,1220,called Architecture Department from R.P. 1896-1901 and R.P. 1910 -1914,
1224001,2,1224,"volumes 1876-81, 1901-06, 1906-10, 1910-14, 1914-17",
1225001,1,1225,"Emil Lorch Director, 1931 to 1938",
1225002,1,1225,"Philip N. Youtz Director, 1957 to 1964",
1225004,1,1225,"Wells I. Bennett Director, 1938 to 1957",
1225003,1,1225,"Reginald F. Malcolmson Director, 1964 to 1972",
1229001,1,1229,SEE ALSO:  Architecture Building,
1238001,4,1238,,18298
1259001,1,1259,called Argus Cameras in R.P. volumes from 1939-42 through 1960-63,
1277008,4,1277,,41788
1277007,4,1277,,41215
1277002,4,1277,,9712
1277006,4,1277,,40586
1277001,1,1277,SEE ALSO:  Military Science Department,
1277005,4,1277,,38647
1277004,4,1277,,33332
1277003,4,1277,,28776
1309001,1,1309,SEE ALSO:  Mrs. Hugh C. Armstrong,
1327001,3,1327,,1277
1327002,3,1327,,40586
1376001,4,1376,,35365
1382001,3,1382,,18309
1383001,4,1383,,1376
1501001,1,1501,SEE:  Contractors of America Inc. Associated General,
1502001,1,1502,SEE:  Cook County Hospital Associated Physicians of the,
1519001,3,1519,,29680
1522002,4,1522,,39375
1522001,1,1522,SEE ALSO:  under specific Observatories,
1541001,4,1541,,1546
1544001,1,1544,"for listing of gifts for loan fund from see RPI 1926-29, 1932-36, 1936-39, 39-42 through 48-51",
1546014,4,1546,,7898
1546019,4,1546,,32069
1546017,4,1546,,12988
1546024,4,1546,,43323
1546018,4,1546,,30268
1546016,4,1546,,8741
1546022,4,1546,,39426
1546002,1,1546,SEE ALSO:  Baseball Stand,
1546015,4,1546,,8727
1546020,4,1546,,37707
1546001,1,1546,SEE ALSO:  Baseball Grounds,
1546010,1,1546,SEE ALSO:  Stadium-Memorial,
1546026,4,1546,,44155
1546013,4,1546,,2240
1546012,4,1546,,1539
1546003,1,1546,SEE ALSO:  Bell Pool Margaret,
1546006,1,1546,SEE ALSO:  Golf Service Building,
1546005,1,1546,SEE ALSO:  Golf Course University,
1546021,4,1546,,37708
