"id","title","available","dateBegin","dateEnd","pages","libraryNum"
1837,Jun 1837–Dec 1863,1,"1837-06-05 00:00:00.0","1863-12-30 00:00:00.0",1172,acw7513.1837.001
1864,Jan 1864–Nov 1869,1,"1864-01-01 00:00:00.0","1869-11-03 00:00:00.0",384,acw7513.1864.001
1870,Jan 1870–Dec 1875,1,"1870-01-05 00:00:00.0","1875-12-21 00:00:00.0",520,acw7513.1870.001
1876,Mar 1876–Nov 1880,1,"1876-03-28 00:00:00.0","1880-11-11 00:00:00.0",642,acw7513.1876.001
1881,Jan 1881–Oct 1885,1,"1881-01-12 00:00:00.0","1885-10-14 00:00:00.0",634,acw7513.1881.001
1886,Mar 1886–Oct 1891,1,"1886-03-30 00:00:00.0","1891-10-21 00:00:00.0",614,acw7513.1886.001
1891,Nov 1891–Oct 1896,1,"1891-11-18 00:00:00.0","1896-10-16 00:00:00.0",696,acw7513.1891.001
1896,Nov 1896–Oct 1901,1,"1896-11-18 00:00:00.0","1901-10-16 00:00:00.0",716,acw7513.1896.001
1901,Nov 1901–Sep 1906,1,"1901-11-26 00:00:00.0","1906-09-25 00:00:00.0",814,acw7513.1901.001
1906,Oct 1906–Oct 1910,1,"1906-10-26 00:00:00.0","1910-10-07 00:00:00.0",874,acw7513.1906.001
1910,Nov 1910–Jul 1914,1,"1910-11-18 00:00:00.0","1914-07-24 00:00:00.0",1094,acw7513.1910.001
1914,Oct 1914–Jul 1917,1,"1914-10-16 00:00:00.0","1917-07-20 00:00:00.0",914,acw7513.1914.001
1917,Oct 1917–Jul 1920,1,"1917-10-12 00:00:00.0","1920-07-23 00:00:00.0",1132,acw7513.1917.001
1920,Sep 1920–Jun 1923,1,"1920-09-10 00:00:00.0","1923-06-14 00:00:00.0",976,acw7513.1920.001
1923,Sep 1923–Jun 1926,1,"1923-09-27 00:00:00.0","1926-06-11 00:00:00.0",1122,acw7513.1923.001
1926,Sep 1926–Jun 1929,1,"1926-09-23 00:00:00.0","1929-06-14 00:00:00.0",1290,acw7513.1926.001
1929,Oct 1929–Jun 1932,1,"1929-10-04 00:00:00.0","1932-06-17 00:00:00.0",1194,acw7513.1929.001
1932,Sep 1932–Jun 1936,1,"1932-09-30 00:00:00.0","1936-06-19 00:00:00.0",1172,acw7513.1932.001
1936,Aug 1936–Jun 1939,1,"1936-08-07 00:00:00.0","1939-06-26 00:00:00.0",1202,acw7513.1936.001
1939,Aug 1939–May 1942,1,"1939-08-04 00:00:00.0","1942-05-28 00:00:00.0",1136,acw7513.1939.001
1942,Jul 1942–Jun 1945,1,"1942-07-17 00:00:00.0","1945-06-23 00:00:00.0",1100,acw7513.1942.001
1945,Jul 1945–Jun 1948,1,"1945-07-27 00:00:00.0","1948-06-11 00:00:00.0",1414,acw7513.1945.001
1948,Jul 1948–Jun 1951,1,"1948-07-16 00:00:00.0","1951-06-15 00:00:00.0",1434,acw7513.1948.001
1951,Aug 1951–Jun 1954,1,"1951-08-03 00:00:00.0","1954-06-11 00:00:00.0",1474,acw7513.1951.001
1954,Aug 1954–Jun 1957,1,"1954-08-06 00:00:00.0","1957-06-14 00:00:00.0",1648,acw7513.1954.001
1957,Jul 1957–Jun 1960,1,"1957-07-12 00:00:00.0","1960-06-10 00:00:00.0",1380,acw7513.1957.001
1960,Jul 1960–Jun 1963,1,"1960-07-14 00:00:00.0","1963-06-21 00:00:00.0",1322,acw7513.1960.001
1963,Jul 1963–Jun 1966,1,"1963-07-26 00:00:00.0","1966-06-23 00:00:00.0",1600,acw7513.1963.001
1966,Jul 1966–Jun 1969,1,"1966-07-29 00:00:00.0","1969-06-20 00:00:00.0",1914,acw7513.1966.001
1969,Jul 1969–Jun 1972,1,"1969-07-18 00:00:00.0","1972-06-16 00:00:00.0",1668,acw7513.1969.001
1972,Jul 1972–Jun 1975,1,"1972-07-21 00:00:00.0","1975-06-20 00:00:00.0",1514,acw7513.1972.001
1975,Jul 1975–Jun 1978,1,"1975-07-17 00:00:00.0","1978-06-15 00:00:00.0",1194,acw7513.1975.001
1978,Jul 1978–Jun 1981,1,"1978-07-27 00:00:00.0","1981-06-19 00:00:00.0",1006,acw7513.1978.001
1981,Jul 1981–Jun 1984,1,"1981-07-16 00:00:00.0","1984-06-14 00:00:00.0",1164,acw7513.1981.001
1984,Jul 1984–Jun 1987,1,"1984-07-12 00:00:00.0","1987-06-19 00:00:00.0",1244,acw7513.1984.001
1987,Jul 1987–Jun 1988,1,"1987-07-18 00:00:00.0","1988-06-16 00:00:00.0",320,acw7513.1987.001
1988,Jul 1988–Jun 1989,1,"1988-07-21 00:00:00.0","1989-06-22 00:00:00.0",340,acw7513.1988.001
1989,Jul 1989–Jun 1990,1,"1989-07-20 00:00:00.0","1990-06-21 00:00:00.0",290,acw7513.1989.001
1990,Jul 1990–Jun 1991,1,"1990-07-19 00:00:00.0","1991-06-13 00:00:00.0",274,acw7513.1990.001
1991,Jul 1991–Jun 1992,1,"1991-07-18 00:00:00.0","1992-06-11 00:00:00.0",348,acw7513.1991.001
1992,Jul 1992–Jun 1993,1,"1992-07-16 00:00:00.0","1993-06-10 00:00:00.0",408,acw7513.1992.001
1993,Jul 1993–Jun 1994,1,"1993-07-15 00:00:00.0","1994-06-16 00:00:00.0",358,acw7513.1993.001
1994,Jul 1994–Jun 1995,1,"1994-07-14 00:00:00.0","1995-06-15 00:00:00.0",392,acw7513.1994.001
1995,Jul 1995–Jun 1996,1,"1995-07-20 00:00:00.0","1996-06-20 00:00:00.0",456,acw7513.1995.001
